College Code,College Name
C537,NAGARJUNA COLLEGE OF MANAGEMENT STUDIES CHIKKAMARALI VILLAGE DODDAMARALI POST CHIKKABALLAP 
C538,PES INSTITUTE OF TECHNOLOGY & MANAGEMENT GUDDADAARAKERE SHIMOGA 
C539,SEA COLLEGE OF SCIENCE COMMERCE AND ARTS NO 
C540,SECAB INSTITUTE OF ENGINEERING & TECHNOLOGY 
C541,ST AGNES COLLEGE AUTONOMOUS BENDORE MANGALORE DAKSHINA KANNADA 
C542,DHANWANTARI ACADEMY FOR MANAGEMENT STUDIES M A J FOUNDATION VINAYAKA NAGAR NEAR CHIKKABANAVA 
C543,"THE CHANAKYA UNIVERSITY HARALURU,DEVANAHALLI "
C544,MAHARAJA INSTITUTE OF TECHNOLOGY THANDAVAPURA THANDAVAPURA VILLAGA ON NATIONAL HIGHWWAY NANJANAG 
C545,INTERNATIONAL SCHOOL OF MANAGEMENT EXCELLENCE SURVEY NO 
C546,THE KISHKINDA UNIVESITY NEAR SINDHIGERI GP NO 
C547,SJB INSTITUTE OF TECHNOLOGY BGS HEALTH & EDUCATION CITY NO 
C548,AKASH GLOBAL COLLEGE OF MANAGEMENT AND SCIENCE 
C549,NAVKIS COLLEGE OF ENGINEERING HASSAN P B NO 
C550,AKASH INSTITUTE OF ENGINEERING AND TECHNOLOGY PRASANNAHALLI MAIN ROAD AKKUPETE VILLAGE KASABA 
C551,AMITY UNIVERSITY NATIONAL HIGHWAY 
C552,ANJUMAN INSTITUTE OF TECHNOLOGY AND MANAGEMENT ANJUMANABAD BHATKAL U K DIST KARNATAKA PIN 
C553,ATME COLLEGE OF ENGINEERING SY NO 
C554,BAGALKOTE UNIVERSITY MUDHOL ROAD JAMKHANDI 
C555,BANGALORE INTEGRATED MANAGEMENT ACADEMY NO 
C556,CANARA COLLEGE M G ROAD KODIALBAIL 
C557,CAUVERY INSTITUTE OF TECHNOLOGY SIDDAIAHNA KOPPALU GATE SUNDAHALLI MANDYA TALUK 
C558,CHAMARAJANAGARA UNIVESITY SUVARNA GANGOTHRI CHAMARAJANAGARA 
C559,CITY ENGINEERING COLLEGE DODDAKALLASANDRA KANAKAPURA ROAD BANGALORE 
