College Code,College Name
C554MC,BAGALKOTE UNIVERSITY MUDHOL ROAD JAMKHANDI 
C555MC,BANGALORE INTEGRATED MANAGEMENT ACADEMY NO 
C556MC,CANARA COLLEGE M G ROAD KODIALBAIL 
C557MC,CAUVERY INSTITUTE OF TECHNOLOGY SIDDAIAHNA KOPPALU GATE SUNDAHALLI MANDYA TALUK 
C558MC,CHAMARAJANAGARA UNIVESITY SUVARNA GANGOTHRI CHAMARAJANAGARA 
C559MC,CITY ENGINEERING COLLEGE DODDAKALLASANDRA KANAKAPURA ROAD BANGALORE 
C560MC,CONSTITUENT COLEGE OF VTU U B D T COLLEGE OF ENGINEERING DAVANAGERE 
C561MC,DAVANGERE UNIVERSITY SHIVAGANGOTRI DAVANAGERE 
C562MC,DEPARTMENT OF COMPUTER SCIENCE AKKAMAHADEVI WOMEN'S UNIVERSITY VIJAYAPURA 
C563MC,DEPARTMENT OF MCA KARNATAK UNIVERSITY DHARWAD 
C564MC,DEPARTMENT OF MCA KUVEMPU UNIVERSITY SHANKARGHATTA SHIMOGA 
C565MC,DEPARTMENT OF PG STUDIES AND RESEARCH IN COMPUTER SCIENCE MANGALORE UNIVERSITY MANGALAGANGOTRI MANGALORE
C566MC,DEPARTMENT OF STUDIES AND RESEARCH IN COMPUTER APPLICATION TUMKUR UNIVERSIT TUMKUR 
C567MC,EAST POINT COLLEGE OF HIGHER EDUCATION JNANA PRABHA CAMPUS BIDARAHALLI VIRGONAGAR POST 
C568MC,GM UNIVESITY KARUR VILLAGE KASABA HOBLI DAVANGERE TALUK AND D 
C569MC,GS COLLEGE OF MANAGEMENT 
C570MC,GURU NANAK DEV ENGINEERING COLLEGE BIDAR MAILOOR ROAD BIDAR 
C571MC,MAHARANI'S CLUSTER UNIVERSITY BANGALORE 
C572MC,NAGARJUNA DEGREE COLLEGE 
C573MC,PARIVARTHANA BUSINESS SCHOOL PARIVARTHANA BUSINESS SCHOOL PLOT NO 
C574MC,POORNAPRAJNA INSTITUTE OF MANAGEMENT POORNAPRAJNA CAMPUS UDUPI 
C575MC,PRESIDENCY UNIVESITY ITTAGALPURA RAJANAKUNTE YELAHANKA 
C576MC,RV INSTITUTE OF TECHNOLOGY AND MANAGEMENT KOTHANUR 
C577MC,SESHADRIPURAM COLLEGE NO 
C578MC,SESHADRIPURAM COLLEGE TUMAKURU VIKASABHARATI CAMPUS GANGASANDRA ROAD KALPATHA 
C579MC,ST PHILOMENA'S COLLEGE BANNIMANTAP MYSORE 
C580MC,VTU POST GRADUATE CENTER AND SKILL DEVELOPMENT CENTER TALAKAL VTU PG CENTER AND SKILL DEVELOPMENT CENTER TALAKA 
